,date,code_departement,type_objet,nombre d'objets perdus par type,nombre_voyageurs
0,2016,01,"Appareils électroniques, informatiques, appareils photo",103,8300028
1,2016,01,"Articles d'enfants, de puériculture",1,8300028
2,2016,01,"Articles de sport, loisirs, camping",3,8300028
3,2016,01,Articles médicaux,3,8300028
4,2016,01,"Bagagerie: sacs, valises, cartables",181,8300028
5,2016,01,"Bijoux, montres",1,8300028
6,2016,01,"Clés, porte-clés, badge magnétique",8,8300028
7,2016,01,Divers,2,8300028
8,2016,01,Instruments de musique,1,8300028
9,2016,01,"Livres, articles de papéterie",1,8300028
10,2016,01,Optique,11,8300028
11,2016,01,Parapluies,2,8300028
12,2016,01,Pièces d'identités et papiers personnels,8,8300028
13,2016,01,"Porte-monnaie / portefeuille, argent, titres",50,8300028
14,2016,01,"Vélos, trottinettes, accessoires 2 roues",14,8300028
15,2016,01,"Vêtements, chaussures",29,8300028
16,2016,02,"Appareils électroniques, informatiques, appareils photo",48,7285511
17,2016,02,Articles médicaux,1,7285511
18,2016,02,"Bagagerie: sacs, valises, cartables",57,7285511
19,2016,02,"Clés, porte-clés, badge magnétique",2,7285511
20,2016,02,Divers,3,7285511
21,2016,02,Instruments de musique,1,7285511
22,2016,02,Optique,2,7285511
23,2016,02,Pièces d'identités et papiers personnels,3,7285511
24,2016,02,"Porte-monnaie / portefeuille, argent, titres",18,7285511
25,2016,02,"Vélos, trottinettes, accessoires 2 roues",3,7285511
26,2016,02,"Vêtements, chaussures",10,7285511
27,2016,03,"Appareils électroniques, informatiques, appareils photo",17,2815151
28,2016,03,"Articles de sport, loisirs, camping",1,2815151
29,2016,03,"Bagagerie: sacs, valises, cartables",13,2815151
30,2016,03,"Bijoux, montres",1,2815151
31,2016,03,"Clés, porte-clés, badge magnétique",2,2815151
32,2016,03,Divers,2,2815151
33,2016,03,Optique,5,2815151
34,2016,03,Parapluies,1,2815151
35,2016,03,Pièces d'identités et papiers personnels,14,2815151
36,2016,03,"Porte-monnaie / portefeuille, argent, titres",7,2815151
37,2016,03,"Vélos, trottinettes, accessoires 2 roues",1,2815151
38,2016,03,"Vêtements, chaussures",4,2815151
39,2016,05,"Appareils électroniques, informatiques, appareils photo",6,958079
40,2016,05,"Articles d'enfants, de puériculture",1,958079
41,2016,05,"Articles de sport, loisirs, camping",2,958079
42,2016,05,"Bagagerie: sacs, valises, cartables",4,958079
43,2016,05,"Porte-monnaie / portefeuille, argent, titres",2,958079
44,2016,05,"Vêtements, chaussures",4,958079
45,2016,06,"Appareils électroniques, informatiques, appareils photo",340,24210620
46,2016,06,"Articles d'enfants, de puériculture",27,24210620
47,2016,06,"Articles de sport, loisirs, camping",32,24210620
48,2016,06,Articles médicaux,22,24210620
49,2016,06,"Bagagerie: sacs, valises, cartables",1118,24210620
50,2016,06,"Bijoux, montres",6,24210620
51,2016,06,"Clés, porte-clés, badge magnétique",173,24210620
52,2016,06,Divers,31,24210620
53,2016,06,Instruments de musique,2,24210620
54,2016,06,"Livres, articles de papéterie",29,24210620
55,2016,06,Optique,149,24210620
56,2016,06,Parapluies,10,24210620
57,2016,06,Pièces d'identités et papiers personnels,272,24210620
58,2016,06,"Porte-monnaie / portefeuille, argent, titres",363,24210620
59,2016,06,"Vélos, trottinettes, accessoires 2 roues",32,24210620
60,2016,06,"Vêtements, chaussures",405,24210620
61,2016,08,"Appareils électroniques, informatiques, appareils photo",10,2796895
62,2016,08,"Articles de sport, loisirs, camping",3,2796895
63,2016,08,"Bagagerie: sacs, valises, cartables",8,2796895
64,2016,08,"Bijoux, montres",2,2796895
65,2016,08,Optique,2,2796895
66,2016,08,"Porte-monnaie / portefeuille, argent, titres",2,2796895
67,2016,08,"Vêtements, chaussures",2,2796895
68,2016,10,"Appareils électroniques, informatiques, appareils photo",16,1566970
69,2016,10,"Articles d'enfants, de puériculture",1,1566970
70,2016,10,"Articles de sport, loisirs, camping",2,1566970
71,2016,10,"Bagagerie: sacs, valises, cartables",26,1566970
72,2016,10,"Bijoux, montres",4,1566970
73,2016,10,"Clés, porte-clés, badge magnétique",10,1566970
74,2016,10,Divers,2,1566970
75,2016,10,"Livres, articles de papéterie",3,1566970
76,2016,10,Optique,10,1566970
77,2016,10,Parapluies,4,1566970
78,2016,10,Pièces d'identités et papiers personnels,6,1566970
79,2016,10,"Porte-monnaie / portefeuille, argent, titres",11,1566970
80,2016,10,"Vélos, trottinettes, accessoires 2 roues",3,1566970
81,2016,10,"Vêtements, chaussures",23,1566970
82,2016,11,"Appareils électroniques, informatiques, appareils photo",62,2900004
83,2016,11,"Articles d'enfants, de puériculture",2,2900004
84,2016,11,"Articles de sport, loisirs, camping",3,2900004
85,2016,11,"Bagagerie: sacs, valises, cartables",139,2900004
86,2016,11,"Bijoux, montres",1,2900004
87,2016,11,"Clés, porte-clés, badge magnétique",4,2900004
88,2016,11,Divers,6,2900004
89,2016,11,Instruments de musique,2,2900004
90,2016,11,"Livres, articles de papéterie",2,2900004
91,2016,11,Optique,4,2900004
92,2016,11,Pièces d'identités et papiers personnels,2,2900004
93,2016,11,"Porte-monnaie / portefeuille, argent, titres",28,2900004
94,2016,11,"Vélos, trottinettes, accessoires 2 roues",3,2900004
95,2016,11,"Vêtements, chaussures",13,2900004
96,2016,13,"Appareils électroniques, informatiques, appareils photo",603,24331855
97,2016,13,"Articles d'enfants, de puériculture",77,24331855
98,2016,13,"Articles de sport, loisirs, camping",24,24331855
99,2016,13,Articles médicaux,32,24331855
100,2016,13,"Bagagerie: sacs, valises, cartables",1434,24331855
101,2016,13,"Bijoux, montres",28,24331855
102,2016,13,"Clés, porte-clés, badge magnétique",192,24331855
103,2016,13,Divers,63,24331855
104,2016,13,Instruments de musique,9,24331855
105,2016,13,"Livres, articles de papéterie",67,24331855
106,2016,13,Optique,211,24331855
107,2016,13,Parapluies,18,24331855
108,2016,13,Pièces d'identités et papiers personnels,343,24331855
109,2016,13,"Porte-monnaie / portefeuille, argent, titres",503,24331855
110,2016,13,"Vélos, trottinettes, accessoires 2 roues",26,24331855
111,2016,13,"Vêtements, chaussures",435,24331855
