,date,type_objet,nombre_objets_perdus
0,2016-01-01 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",13
1,2016-01-01 00:00:00+00:00,"Articles de sport, loisirs, camping",1
2,2016-01-01 00:00:00+00:00,Articles médicaux,1
3,2016-01-01 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",18
4,2016-01-01 00:00:00+00:00,"Clés, porte-clés, badge magnétique",4
5,2016-01-01 00:00:00+00:00,Divers,2
6,2016-01-01 00:00:00+00:00,"Livres, articles de papéterie",3
7,2016-01-01 00:00:00+00:00,Optique,6
8,2016-01-01 00:00:00+00:00,Parapluies,1
9,2016-01-01 00:00:00+00:00,Pièces d'identités et papiers personnels,9
10,2016-01-01 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",11
11,2016-01-01 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",1
12,2016-01-01 00:00:00+00:00,"Vêtements, chaussures",13
13,2016-01-08 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",228
14,2016-01-08 00:00:00+00:00,"Articles d'enfants, de puériculture",31
15,2016-01-08 00:00:00+00:00,"Articles de sport, loisirs, camping",18
16,2016-01-08 00:00:00+00:00,Articles médicaux,11
17,2016-01-08 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",577
18,2016-01-08 00:00:00+00:00,"Bijoux, montres",28
19,2016-01-08 00:00:00+00:00,"Clés, porte-clés, badge magnétique",89
20,2016-01-08 00:00:00+00:00,Divers,45
21,2016-01-08 00:00:00+00:00,Instruments de musique,2
22,2016-01-08 00:00:00+00:00,"Livres, articles de papéterie",36
23,2016-01-08 00:00:00+00:00,Optique,90
24,2016-01-08 00:00:00+00:00,Parapluies,30
25,2016-01-08 00:00:00+00:00,Pièces d'identités et papiers personnels,204
26,2016-01-08 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",206
27,2016-01-08 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",11
28,2016-01-08 00:00:00+00:00,"Vêtements, chaussures",167
29,2016-01-15 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",272
30,2016-01-15 00:00:00+00:00,"Articles d'enfants, de puériculture",17
31,2016-01-15 00:00:00+00:00,"Articles de sport, loisirs, camping",23
32,2016-01-15 00:00:00+00:00,Articles médicaux,13
33,2016-01-15 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",461
34,2016-01-15 00:00:00+00:00,"Bijoux, montres",19
35,2016-01-15 00:00:00+00:00,"Clés, porte-clés, badge magnétique",131
36,2016-01-15 00:00:00+00:00,Divers,28
37,2016-01-15 00:00:00+00:00,Instruments de musique,3
38,2016-01-15 00:00:00+00:00,"Livres, articles de papéterie",60
39,2016-01-15 00:00:00+00:00,Optique,99
40,2016-01-15 00:00:00+00:00,Parapluies,59
41,2016-01-15 00:00:00+00:00,Pièces d'identités et papiers personnels,216
42,2016-01-15 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",214
43,2016-01-15 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",15
44,2016-01-15 00:00:00+00:00,"Vêtements, chaussures",200
