,date,nombre_objets_perdus
0,2016-01-01,83
1,2016-01-08,1773
2,2016-01-15,1830
3,2016-01-22,1643
4,2016-01-29,1689
5,2016-02-05,1668
6,2016-02-12,1732
7,2016-02-19,1628
8,2016-02-26,1747
9,2016-03-04,1659
10,2016-03-11,1602
11,2016-03-18,1627
12,2016-03-25,1794
13,2016-04-01,1748
14,2016-04-08,1696
15,2016-04-15,1839
16,2016-04-22,1829
17,2016-04-29,1640
18,2016-05-06,1871
19,2016-05-13,1960
20,2016-05-20,1646
21,2016-05-27,1793
22,2016-06-03,1628
23,2016-06-10,1496
24,2016-06-17,1674
25,2016-06-24,2016
26,2016-07-01,2131
27,2016-07-08,2284
28,2016-07-15,2095
29,2016-07-22,2157
30,2016-07-29,1922
31,2016-08-05,2109
32,2016-08-12,1971
33,2016-08-19,1967
34,2016-08-26,1969
35,2016-09-02,1903
36,2016-09-09,1957
37,2016-09-16,1853
38,2016-09-23,1983
39,2016-09-30,1956
40,2016-10-07,2045
41,2016-10-14,1868
42,2016-10-21,1883
43,2016-10-28,1888
44,2016-11-04,1744
45,2016-11-11,1845
46,2016-11-18,1852
47,2016-11-25,1595
48,2016-12-02,1843
49,2016-12-09,1768
50,2016-12-16,1744
51,2016-12-23,1999
52,2016-12-30,1751
53,2017-01-06,1731
54,2017-01-13,1690
55,2017-01-20,1692
56,2017-01-27,1803
57,2017-02-03,1729
58,2017-02-10,1906
59,2017-02-17,1851
60,2017-02-24,1849
61,2017-03-03,1681
62,2017-03-10,1787
63,2017-03-17,1732
64,2017-03-24,1717
65,2017-03-31,1853
66,2017-04-07,1870
67,2017-04-14,2139
68,2017-04-21,1752
69,2017-04-28,1858
70,2017-05-05,1729
71,2017-05-12,1663
72,2017-05-19,1824
73,2017-05-26,1893
74,2017-06-02,1920
75,2017-06-09,1900
76,2017-06-16,2180
77,2017-06-23,1964
78,2017-06-30,1970
79,2017-07-07,2342
80,2017-07-14,2391
81,2017-07-21,2150
82,2017-07-28,2018
83,2017-08-04,2078
84,2017-08-11,1882
85,2017-08-18,1913
86,2017-08-25,1992
87,2017-09-01,1936
88,2017-09-08,1891
89,2017-09-15,1710
90,2017-09-22,1762
91,2017-09-29,2075
92,2017-10-06,1887
93,2017-10-13,1887
94,2017-10-20,1925
95,2017-10-27,1956
96,2017-11-03,1704
97,2017-11-10,1913
98,2017-11-17,1862
99,2017-11-24,1773
100,2017-12-01,1833
101,2017-12-08,1822
102,2017-12-15,1815
103,2017-12-22,1765
104,2017-12-29,1798
105,2018-01-05,1735
106,2018-01-12,1850
107,2018-01-19,1690
108,2018-01-26,1716
109,2018-02-02,1690
110,2018-02-09,1739
111,2018-02-16,1799
112,2018-02-23,1851
113,2018-03-02,1786
114,2018-03-09,1795
115,2018-03-16,1736
116,2018-03-23,1486
117,2018-03-30,1771
118,2018-04-06,1348
119,2018-04-13,1187
120,2018-04-20,1301
121,2018-04-27,1477
122,2018-05-04,1145
123,2018-05-11,1198
124,2018-05-18,1396
125,2018-05-25,1322
126,2018-06-01,1589
127,2018-06-08,1540
128,2018-06-15,1595
129,2018-06-22,1684
130,2018-06-29,1703
131,2018-07-06,2032
132,2018-07-13,2067
133,2018-07-20,2051
134,2018-07-27,1996
135,2018-08-03,1810
136,2018-08-10,1988
137,2018-08-17,1737
138,2018-08-24,1864
139,2018-08-31,1972
140,2018-09-07,1868
141,2018-09-14,1957
142,2018-09-21,1883
143,2018-09-28,2081
144,2018-10-05,2038
145,2018-10-12,1989
146,2018-10-19,1937
147,2018-10-26,1923
148,2018-11-02,1689
149,2018-11-09,1740
150,2018-11-16,1743
151,2018-11-23,1758
152,2018-11-30,1741
153,2018-12-07,1774
154,2018-12-14,1762
155,2018-12-21,1773
156,2018-12-28,1762
157,2019-01-04,1482
158,2019-01-11,1643
159,2019-01-18,1550
160,2019-01-25,1663
161,2019-02-01,1615
162,2019-02-08,1722
163,2019-02-15,1699
164,2019-02-22,1683
165,2019-03-01,1787
166,2019-03-08,1826
167,2019-03-15,1694
168,2019-03-22,1809
169,2019-03-29,1669
170,2019-04-05,1727
171,2019-04-12,1771
172,2019-04-19,1798
173,2019-04-26,1864
174,2019-05-03,1767
175,2019-05-10,1596
176,2019-05-17,1688
177,2019-05-24,1857
178,2019-05-31,1726
179,2019-06-07,1869
180,2019-06-14,1781
181,2019-06-21,1925
182,2019-06-28,1907
183,2019-07-05,2039
184,2019-07-12,2044
185,2019-07-19,2218
186,2019-07-26,1896
187,2019-08-02,1903
188,2019-08-09,1820
189,2019-08-16,1806
190,2019-08-23,1832
191,2019-08-30,1756
192,2019-09-06,1910
193,2019-09-13,1860
194,2019-09-20,1977
195,2019-09-27,1709
196,2019-10-04,1790
197,2019-10-11,1820
198,2019-10-18,1702
199,2019-10-25,1659
200,2019-11-01,1492
201,2019-11-08,1725
202,2019-11-15,1652
203,2019-11-22,1530
204,2019-11-29,1671
205,2019-12-06,1378
206,2019-12-13,499
207,2019-12-20,673
208,2019-12-27,785
209,2020-01-03,875
210,2020-01-10,941
211,2020-01-17,1142
212,2020-01-24,1339
213,2020-01-31,1450
214,2020-02-07,1597
215,2020-02-14,1647
216,2020-02-21,1621
217,2020-02-28,1677
218,2020-03-06,1531
219,2020-03-13,1438
220,2020-03-20,430
221,2020-03-27,13
222,2020-04-03,20
223,2020-04-10,29
224,2020-04-17,6
225,2020-04-24,12
226,2020-05-01,10
227,2020-05-08,10
228,2020-05-15,250
229,2020-05-22,334
230,2020-05-29,428
231,2020-06-05,494
232,2020-06-12,665
233,2020-06-19,843
234,2020-06-26,979
235,2020-07-03,1063
236,2020-07-10,1315
237,2020-07-17,1325
238,2020-07-24,1330
239,2020-07-31,1272
240,2020-08-07,1277
241,2020-08-14,1126
242,2020-08-21,1274
243,2020-08-28,1367
244,2020-09-04,1272
245,2020-09-11,1294
246,2020-09-18,1208
247,2020-09-25,1161
248,2020-10-02,1185
249,2020-10-09,1123
250,2020-10-16,1186
251,2020-10-23,1205
252,2020-10-30,1117
253,2020-11-06,752
254,2020-11-13,364
255,2020-11-20,494
256,2020-11-27,460
257,2020-12-04,557
258,2020-12-11,615
259,2020-12-18,866
260,2020-12-25,978
261,2021-01-01,924
262,2021-01-08,976
263,2021-01-15,897
264,2021-01-22,863
265,2021-01-29,864
266,2021-02-05,877
267,2021-02-12,884
268,2021-02-19,928
269,2021-02-26,1055
270,2021-03-05,1041
271,2021-03-12,1024
272,2021-03-19,923
273,2021-03-26,835
274,2021-04-02,908
275,2021-04-09,783
276,2021-04-16,620
277,2021-04-23,672
278,2021-04-30,700
279,2021-05-07,879
280,2021-05-14,901
281,2021-05-21,1050
282,2021-05-28,1033
283,2021-06-04,1231
284,2021-06-11,1178
285,2021-06-18,1241
286,2021-06-25,1262
287,2021-07-02,1379
288,2021-07-09,1598
289,2021-07-16,1468
290,2021-07-23,1596
291,2021-07-30,1378
292,2021-08-06,1451
293,2021-08-13,1552
294,2021-08-20,1433
295,2021-08-27,1546
296,2021-09-03,1502
297,2021-09-10,1466
298,2021-09-17,1489
299,2021-09-24,1311
300,2021-10-01,1476
301,2021-10-08,1403
302,2021-10-15,1582
303,2021-10-22,1371
304,2021-10-29,1343
305,2021-11-05,1384
306,2021-11-12,1374
307,2021-11-19,1354
308,2021-11-26,1194
309,2021-12-03,1285
310,2021-12-10,1300
311,2021-12-17,1421
312,2021-12-24,1444
313,2021-12-31,1202
